time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-10-18T11:52:15.860Z,36.567001342773,-121.1318359375,8.2399997711182,1.35,md,7,154,0.07516,0.11,nc,nc75075741,2024-10-18T11:53:51.320Z,"4 km NNE of Pinnacles, CA",earthquake,1.59,5.19000006,0.09,4,automatic,nc,nc
2024-10-18T11:45:24.483Z,60.0732,-141.0845,9.7,3,ml,,,,0.58,ak,ak024df3qsyo,2024-10-18T11:47:38.470Z,"96 km NW of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2024-10-18T11:36:43.997Z,61.64,-148.0606,8.5,1.5,ml,,,,0.74,ak,ak024df3ox0v,2024-10-18T11:38:54.477Z,"27 km SE of Chickaloon, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-10-18T11:24:08.700Z,33.1883333,-115.9193333,6.81,1.38,ml,56,61,0.05117,0.25,ci,ci40955992,2024-10-18T11:37:42.663Z,"13 km SSE of Salton City, CA",earthquake,0.26,0.55,0.17,26,automatic,ci,ci
2024-10-18T11:08:03.201Z,62.9331,-150.3234,83.3,1.7,ml,,,,0.58,ak,ak024df3itts,2024-10-18T11:10:21.018Z,"53 km NNE of Petersville, Alaska",earthquake,,0.7,,,automatic,ak,ak
2024-10-18T10:56:28.014Z,63.411,-150.3204,4.2,1.3,ml,,,,0.48,ak,ak024df37qhw,2024-10-18T10:58:39.341Z,"68 km W of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-10-18T10:26:15.917Z,15.9246,-94.7285,63.232,4.7,mb,46,160,2.516,1.23,us,us6000nzic,2024-10-18T11:15:47.791Z,"35 km SSW of San Francisco del Mar Viejo, Mexico",earthquake,9.12,9.84,0.055,100,reviewed,us,us
2024-10-18T10:01:48.720Z,19.213499069214,-155.37033081055,31.909999847412,1.92999995,md,47,159,0.03506,0.200000003,hv,hv74502936,2024-10-18T10:03:59.830Z,"11 km E of Pāhala, Hawaii",earthquake,0.53,0.730000019,0.150000006,6,automatic,hv,hv
2024-10-18T09:45:58.040Z,36.14049911499,-120.73383331299,4.289999961853,1.65,md,9,133,0.09294,0.1,nc,nc75075736,2024-10-18T10:09:27.663Z,"20 km ENE of San Ardo, CA",earthquake,0.63,1.46000004,0.09,7,automatic,nc,nc
2024-10-18T09:42:44.659Z,56.7821,-156.3988,7.7,3.3,ml,,,,0.5,ak,ak024df2jc5t,2024-10-18T10:22:22.040Z,"101 km SE of Ugashik, Alaska",earthquake,,0.5,,,automatic,ak,ak
2024-10-18T09:41:18.280Z,33.2641667,-116.4241667,4.61,1.06,ml,53,61,0.007116,0.2,ci,ci40955952,2024-10-18T09:49:10.383Z,"5 km WNW of Borrego Springs, CA",earthquake,0.17,0.35,0.127,26,automatic,ci,ci
2024-10-18T09:39:39.588Z,31.634,-104.124,3.7255,1.6,ml,10,106,0.1,0.6,tx,tx2024umkn,2024-10-18T09:46:41.728Z,"47 km NW of Toyah, Texas",earthquake,0,1.6550166606903,0.3,8,automatic,tx,tx
2024-10-18T09:19:02.700Z,17.964666666667,-65.3775,8.86,3.21,md,12,214,0.3527,0.26,pr,pr71462943,2024-10-18T09:51:53.690Z,"17 km SE of Esperanza, Puerto Rico",earthquake,1.06,0.99,0.29729367812669,9,reviewed,pr,pr
2024-10-18T09:18:22.191Z,25.249,142.7832,1.801,5.4,mww,95,84,1.916,0.86,us,us6000nzi5,2024-10-18T11:24:29.980Z,"Volcano Islands, Japan region",earthquake,8.88,4.49,0.059,28,reviewed,us,us
2024-10-18T09:06:07.260Z,38.821166992188,-122.78450012207,1.4500000476837,1.03,md,10,119,0.0147,0.02,nc,nc75075726,2024-10-18T09:42:17.462Z,"5 km W of Cobb, CA",earthquake,0.38,0.709999979,0.09,12,automatic,nc,nc
2024-10-18T09:04:15.255Z,62.1616,-150.8209,60.8,2.4,ml,,,,0.29,ak,ak024df2b4ol,2024-10-18T09:06:01.429Z,"35 km WSW of Trapper Creek, Alaska",earthquake,,0.5,,,automatic,ak,ak
2024-10-18T09:03:39.630Z,38.820499420166,-122.78299713135,2.0999999046326,2.35,md,38,36,0.01427,0.11,nc,nc75075711,2024-10-18T09:12:15.233Z,"5 km W of Cobb, CA",earthquake,0.2,0.349999994,0.17,39,automatic,nc,nc
2024-10-18T09:02:34.041Z,61.7467,-151.6561,91.5,2.5,ml,,,,0.49,ak,ak024df2aqpf,2024-10-18T09:08:12.040Z,"30 km SSW of Skwentna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-10-18T08:25:40.370Z,31.6077,-104.4539,8.891,2.6,ml,16,113,0.696,0.42,us,us6000nzhw,2024-10-18T08:41:54.040Z,"63 km S of Whites City, New Mexico",earthquake,2.51,8.618,0.085,18,reviewed,us,us
2024-10-18T08:11:39.000Z,35.9493333,-117.4905,3.89,1.52,ml,29,123,0.09126,0.16,ci,ci40955928,2024-10-18T08:17:48.865Z,"22 km NNW of Searles Valley, CA",earthquake,0.28,0.55,0.18,19,automatic,ci,ci
2024-10-18T08:11:25.410Z,38.824501037598,-122.76683044434,2.0599999427795,1.27,md,13,118,0.006429,0.02,nc,nc75075696,2024-10-18T08:27:15.892Z,"4 km WNW of Cobb, CA",earthquake,0.29,0.5,0.06,13,automatic,nc,nc
2024-10-18T07:46:21.039Z,60.8752,-149.3018,28.9,1.6,ml,,,,0.61,ak,ak024df1d9zr,2024-10-18T07:48:20.118Z,"6 km E of Sunrise, Alaska",earthquake,,0.2,,,automatic,ak,ak
2024-10-18T07:18:06.550Z,32.974,-116.27,9.24,1.25,ml,49,44,0.1182,0.19,ci,ci40955920,2024-10-18T07:33:44.613Z,"23 km SW of Ocotillo Wells, CA",earthquake,0.22,0.64,0.162,28,automatic,ci,ci
2024-10-18T07:17:17.563Z,12.1484,-89.0917,10,4.5,mb,52,172,1.511,0.85,us,us6000nzhn,2024-10-18T08:11:07.040Z,"138 km SSW of Puerto El Triunfo, El Salvador",earthquake,7.67,1.882,0.085,40,reviewed,us,us
2024-10-18T06:53:48.282Z,63.5995,-151.5337,0.5,1.8,ml,,,,1.8,ak,ak024df0tei4,2024-10-18T06:56:22.588Z,"11 km NE of Denali National Park, Alaska",earthquake,,2,,,automatic,ak,ak
2024-10-18T06:20:36.918Z,61.7378,-146.3555,35.4,1.3,ml,,,,0.8,ak,ak024df0mazv,2024-10-18T06:22:15.794Z,"35 km SE of Nelchina, Alaska",earthquake,,2.3,,,automatic,ak,ak
2024-10-18T05:53:47.204Z,31.671,-104.193,5.4582,1.9,ml,10,114,0.1,0.2,tx,tx2024umdb,2024-10-18T06:06:02.298Z,"54 km NW of Toyah, Texas",earthquake,0,3.5295829772949,0.3,8,automatic,tx,tx
2024-10-18T05:50:19.902Z,47.5895,-128.9384,10,3.1,ml,19,137,0.354,0.95,us,us6000nzhd,2024-10-18T10:01:22.360Z,"283 km SW of Tofino, Canada",earthquake,5.51,2.006,0.055,44,reviewed,us,us
2024-10-18T05:49:50.489Z,31.666,-104.192,5.9589,2.8,ml,16,128,0.1,0.1,tx,tx2024umcy,2024-10-18T06:14:34.224Z,"54 km NW of Toyah, Texas",earthquake,0.47439234586762,1.0823007311634,0.3,12,reviewed,tx,tx
2024-10-18T05:43:11.060Z,38.814666748047,-122.80867004394,3.2799999713898,1.3,md,16,55,0.0124,0.03,nc,nc75075681,2024-10-18T06:09:25.943Z,"6 km NW of The Geysers, CA",earthquake,0.27,0.50999999,0.1,17,automatic,nc,nc
2024-10-18T05:35:22.665Z,38.6657,-119.5569,10.2,1.2,ml,10,155.78,0.33,0.124,nn,nn00886202,2024-10-18T05:37:44.798Z,"3 km SSW of Topaz Lake, Nevada",earthquake,,1.3,0.31,4,automatic,nn,nn
2024-10-18T05:35:19.790Z,19.194000244141,-155.49783325195,35.709999084473,1.88999999,md,37,193,0.1042,0.0900000036,hv,hv74502636,2024-10-18T05:37:14.190Z,"2 km WSW of Pāhala, Hawaii",earthquake,0.7,0.870000005,0.0299999993,9,automatic,hv,hv
2024-10-18T05:34:08.060Z,18.017,-66.744166666667,14.22,2.56,md,16,128,0.1079,0.22,pr,pr71462908,2024-10-18T06:13:56.220Z,"2 km E of Magas Arriba, Puerto Rico",earthquake,0.45,0.96,0.2177809879153,8,reviewed,pr,pr
2024-10-18T05:26:53.220Z,17.896166666667,-66.747666666667,4.74,2.98,md,12,243,0.1376,0.12,pr,pr71462903,2024-10-18T11:32:54.224Z,"11 km SSW of Tallaboa, Puerto Rico",earthquake,0.56,0.35,0.18530090035495,5,reviewed,pr,pr
2024-10-18T05:26:02.710Z,18.205,-66.844666666667,26.97,2.71,md,26,61,0.1266,0.19,pr,pr71462893,2024-10-18T05:56:35.790Z,"10 km SSE of Lares, Puerto Rico",earthquake,0.36,0.78,0.13954155718948,11,reviewed,pr,pr
2024-10-18T05:25:16.936Z,-7.5405,156.2994,10,4.9,mb,47,64,4.071,0.66,us,us6000nzhb,2024-10-18T05:55:27.040Z,"86 km NW of Gizo, Solomon Islands",earthquake,12.54,1.791,0.088,41,reviewed,us,us
2024-10-18T05:25:02.500Z,18.175666666667,-67.271,23.31,2.64,md,6,250,0.2278,0.1,pr,pr71462923,2024-10-18T07:58:38.910Z,"14 km WSW of Mayagüez, Puerto Rico",earthquake,0.77,1.53,0.037185092065542,2,reviewed,pr,pr
2024-10-18T05:12:54.069Z,63.0782,-151.3628,0,1,ml,,,,0.64,ak,ak024dezz6zm,2024-10-18T05:15:47.933Z,"54 km SSE of Denali National Park, Alaska",earthquake,,0.5,,,automatic,ak,ak
2024-10-18T05:12:26.813Z,60.1816,-139.1132,0,2.2,ml,,,,1.05,ak,ak024dezz4yl,2024-10-18T05:22:54.850Z,"78 km NNE of Yakutat, Alaska",earthquake,,0.5,,,automatic,ak,ak
2024-10-18T05:09:01.950Z,33.3650017,-116.6740036,14.79,1.26,ml,18,147,0.1426,0.44,ci,ci40955896,2024-10-18T05:15:20.792Z,"10 km NNW of Warner Springs, CA",earthquake,1.17,1.79,0.16,6,automatic,ci,ci
2024-10-18T05:06:41.246Z,-23.759,179.9915,563.439,4.4,mb,32,103,5.791,0.93,us,us6000nzh7,2024-10-18T05:26:37.040Z,"south of the Fiji Islands",earthquake,15.17,9.351,0.107,25,reviewed,us,us
2024-10-18T04:57:13.822Z,60.8253,-150.2326,41.3,1.8,ml,,,,0.3,ak,ak024deznbhy,2024-10-18T04:58:45.778Z,"27 km ESE of Point Possession, Alaska",earthquake,,1.2,,,automatic,ak,ak
2024-10-18T04:54:20.730Z,34.0483333,-117.2621667,17.88,1.08,ml,52,30,0.05945,0.18,ci,ci40955888,2024-10-18T05:01:30.513Z,"0 km W of Loma Linda, CA",earthquake,0.2,0.38,0.25,28,automatic,ci,ci
2024-10-18T04:50:40.130Z,19.009000778198,-155.35133361816,16.559999465942,1.90999997,md,34,253,0.1794,0.180000007,hv,hv74502621,2024-10-18T04:54:03.950Z,"24 km ESE of Naalehu, Hawaii",earthquake,1.42,14.4899998,0.170000002,3,automatic,hv,hv
2024-10-18T04:38:07.618Z,40.2963,142.3273,63.357,5.1,mww,103,133,1.081,0.8,us,us6000nzgv,2024-10-18T05:47:33.368Z,"48 km ENE of Noda, Japan",earthquake,7,6.364,0.078,16,reviewed,us,us
2024-10-18T04:05:53.325Z,62.6341,-149.1949,54.1,2.4,ml,,,,0.7,ak,ak024dezc9am,2024-10-18T04:32:01.040Z,"51 km ENE of Chase, Alaska",earthquake,,0.7,,,automatic,ak,ak
2024-10-18T03:57:43.870Z,34.1143333,-118.3245,8.7,1.07,ml,16,151,0.04605,0.11,ci,ci40955872,2024-10-18T04:03:49.386Z,"2 km N of Hollywood, CA",earthquake,0.34,0.44,0.191,26,automatic,ci,ci
2024-10-18T03:38:32.300Z,33.4628334,-116.5650024,0.38,1.09,ml,18,155,0.04446,0.25,ci,ci40955864,2024-10-18T03:40:38.720Z,"14 km SE of Anza, CA",earthquake,0.53,0.76,0.317,11,automatic,ci,ci
2024-10-18T02:32:55.640Z,38.523666381836,-122.63632965088,5.2600002288818,1.72,md,25,64,0.07674,0.08,nc,nc75075641,2024-10-18T02:52:16.510Z,"8 km SW of Calistoga, CA",earthquake,0.24,0.910000026,0.12,26,automatic,nc,nc
2024-10-18T01:41:59.235Z,-6.7196,155.0486,35,5,mb,50,63,5.552,1.15,us,us6000nzgl,2024-10-18T02:08:48.040Z,"65 km SW of Panguna, Papua New Guinea",earthquake,9.4,1.861,0.065,76,reviewed,us,us
